SAMN25270680,
SAMN25270676,
SAMN25270671,
SAMN25270670,
SAMN25270674,
SAMN25270677,
SAMN19104843,
SAMN14927984,
SAMN07151168,SRR5581941
SAMN20345806,SRR15212459
SAMN19812510,
SAMN19812511,
SAMN19812513,
SAMN15666299,SRR12342993
SAMN15666300,SRR12342992
SAMN33715200,SRR23803335
SAMN33715202,SRR23803333
SAMN33715203,SRR23803332
SAMN34003877,
SAMN24619911,
SAMN16357236,SRR12826196
SAMN13450408,SRR12047330
SAMN15897436,
SAMN17208412,
SAMN15350026,SRR12084634
SAMN25249354,
SAMN25249355,
SAMN16419718,
SAMN30507085,
SAMN37105856,
SAMN14571954,
SAMN04961992,SRR4012716
SAMN04961950,SRR4012657
SAMN37107273,
SAMN37106984,
SAMN07427967,SRR5886283
SAMN04961947,SRR4012654
SAMN04962018,SRR4012809
SAMN04961937,SRR4012641
SAMN20692191,
SAMN30802445,SRR21539848
SAMN08773568,SRR6880047
SAMN15870316,
SAMN15870320,
SAMN15870319,
SAMN15870315,
SAMN15870318,
SAMN22551430,SRR17276217
SAMN22551506,SRR17276215
SAMN22551429,SRR17276216
SAMN24619910,
SAMN24619909,
SAMN24619906,
SAMN31814736,
SAMN31814740,
SAMN31814742,
SAMN31814738,
SAMN24619907,
SAMN24619908,
SAMN25270681,
SAMN25270673,
SAMN25270678,
SAMN25270675,
SAMN25270679,
SAMN25270672,
SAMN25761580,SRR17965721
SAMN26317632,SRR18175312
SAMN15941600,
SAMN15941595,
SAMN15941596,
SAMN15941598,
SAMN26664045,SRR18329062
SAMN15941597,
SAMN26664046,SRR18329060
SAMN26662412,SRR18328646
SAMN15941601,
SAMN15941602,
SAMN16419717,
SAMN16419721,
SAMN16419716,
SAMN16419723,
SAMN16419719,
SAMN29630254,
SAMN33818803,
SAMN33944461,
SAMN33715201,SRR23803334
SAMN34404588,SRR24324334
SAMD00206786,DRR261749
SAMN30839144,
SAMN30839143,
SAMN08663433,
SAMN08663434,
SAMN15870321,
SAMN15870317,
SAMN06045058,SRR5056398
SAMN06045123,SRR5056480
SAMN06045066,SRR5056441
SAMN06045069,SRR5056428
SAMN06045239,SRR5056522
SAMN06045068,SRR5056495
SAMN06045011,SRR5056608
SAMD00515066,DRR396387
SAMN06045071,SRR5056481
SAMN06045076,SRR5056337
SAMN06045193,SRR5056381
SAMN06045063,SRR5056385
SAMN06045182,SRR5056619
SAMN06044983,SRR5056458
SAMN06045028,SRR5056374
SAMN06045089,SRR5056414
SAMN31698713,
SAMN31698714,
SAMN31814739,
SAMN31814743,
SAMN31814741,
SAMN31814737,
SAMN06045107,SRR5056512
SAMN32929940,
SAMN33246676,
SAMN10914547,
SAMN10914546,
SAMN11056403,SRR9163435
SAMN11056425,SRR9172097
SAMN11056423,SRR9172018
SAMN03896006,
SAMN35713968,
SAMN13334506,SRR10859048
SAMN37187407,
SAMN07604329,
SAMN37648166,SRR26255150
SAMN30589491,
SAMN08903161,
SAMN03069713,SRR1576113
SAMN02800587,SRR1300600
SAMN32950776,
SAMN32950771,
SAMN08098100,
SAMN13191649,SRR10520184
SAMN07312412,SRR5866640
SAMN03076563,
SAMN02909989,
SAMN31136160,
SAMN36414958,SRR25476017
SAMN33677885,
SAMN33677881,
SAMN29431217,
SAMN12688790,
SAMN29431224,
SAMEA1904377,ERR294783
SAMEA2336231,ERR495207
SAMN10261265,SRR8100708 SRR9099595
SAMN29431225,
SAMN29431223,
SAMEA2336232,ERR495208
SAMEA1904401,ERR294808
SAMN08178026,
SAMN08178012,
SAMN18138611,
SAMN08177984,
SAMN08178174,
SAMN08178024,
SAMN08178170,
SAMN08178172,
SAMN26567208,
SAMN29431230,
SAMN29431227,
SAMN14504782,SRR11457805
SAMN14504574,SRR11457780
SAMN26567205,
SAMN24782759,
SAMN24782770,
SAMN26567209,
SAMN26567206,
SAMN26567207,
SAMN08177985,
SAMN08178051,
SAMN08178053,
