Isolate,Stx_gene,No._of_contig
SRR6929630,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR6929616,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR6929616,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR3195765,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR3195765,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
DRR381607,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
DRR381607,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR4301497,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,3
SRR4301497,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,2
SRR3180707,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR3180707,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR4301494,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR4301494,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR15415622,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR15415622,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR15674630,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR15674630,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR6929639,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR6929639,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR7896257,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR7896257,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR6929625,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR6929625,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR4301554,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR4301554,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
DRR381635,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
DRR381635,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR14419387,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,3
SRR14419387,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,2
SRR23929852,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR23929852,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
DRR381745,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
DRR381745,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR5413253,stx1a_A_lcl|AF461168.1_cds_AAM70035.1_1,1
SRR5413253,stx1a_B_lcl|AF461168.1_cds_AAM70036.1_2,1
SRR13160360,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,3
SRR13160360,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,2
SRR14419377,stx1a_A_lcl|AF461168.1_cds_AAM70035.1_1,1
SRR14419377,stx1a_B_lcl|AF461168.1_cds_AAM70036.1_2,1
SRR15376149,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,3
SRR15376149,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,2
SRR6929636,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR6929636,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR3195839,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR3195839,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
DRR381701,stx2c_A_lcl|M59432.1_cds_AAA19623.1_1,2
DRR381701,stx2c_B_lcl|M59432.1_cds_AAA19624.1_2,2
SRR8292155,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR8292155,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR2914455,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR2914455,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR14419381,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,3
